train_id,region,season,train_type,train_age_years,average_speed_kmph,distance_travelled_km,ambient_temperature_c,humidity_percent,rainfall_mm,wheel_wear_percent,track_vibration_level,rail_wear_mm,bearing_temperature_c,axle_temperature_c,brake_pad_wear_percent,brake_pressure_psi,battery_voltage,last_maintenance_days,sensor_health_index,inspection_score,delay_minutes,failure_type,maintenance_required,failure_severity,risk_score
9218,Eastern Railway,Winter,Metro,5,54.98607071733359,247275,27.0,52.4,4.9,15.4,2.81,3.64,65.2,59.6,31.1,117.0,25.44,115,84.4,80.3,15.0,None,0,None,51.1
9219,Northern Railway,Winter,Passenger,20,78.50312108003003,510682,23.7,41.8,4.2,56.4,4.8,9.93,67.3,70.9,44.5,88.1,26.31,343,27.4,44.9,20.4,None,0,None,94.6
9220,Western Railway,Summer,Passenger,34,81.69520361067048,193425,39.6,59.8,8.7,81.8,4.68,18.07,90.0,79.8,94.1,55.4,24.72,363,14.4,40.0,3.3,Track Defect,1,High,100.0
9221,Eastern Railway,Winter,Express,32,59.96658160229006,82822,21.5,69.5,0.7,60.8,4.45,12.0,76.4,76.4,76.0,76.2,23.68,338,34.1,45.0,5.1,None,0,None,98.4
9222,South Central Railway,Winter,Passenger,28,80.92409861421778,408034,20.8,11.7,,86.8,6.09,10.15,112.1,84.8,48.9,88.4,23.51,111,90.7,92.6,1.3,Wheel Defect,1,Low,64.8
9223,Central Railway,Summer,Freight,32,54.12225006550332,87757,33.4,50.4,5.1,62.1,3.19,16.05,76.5,72.9,58.2,100.1,25.13,235,52.7,59.0,1.1,Track Defect,1,Low,84.8
9224,South Central Railway,Summer,Passenger,14,69.45868618290451,37762,38.5,56.6,8.7,34.6,2.86,8.51,81.3,59.7,56.7,86.6,25.48,363,28.8,40.0,3.7,None,0,None,92.5
9225,Northern Railway,Monsoon,Express,21,102.09483663222808,41080,31.0,79.9,75.2,34.3,1.96,8.9,69.4,47.6,67.3,84.1,24.13,173,61.6,49.6,18.9,None,0,None,80.3
9226,Central Railway,Monsoon,Passenger,22,87.37954030072916,36828,29.0,75.1,59.6,37.3,2.51,15.45,61.9,67.3,61.5,88.5,23.36,8,95.9,90.7,32.4,Track Defect,1,High,53.5
9227,Central Railway,Monsoon,Freight,26,50.28090276709679,99844,25.7,71.7,23.6,48.3,3.75,13.62,73.5,73.6,56.0,94.6,24.31,357,32.6,45.7,35.1,None,0,None,92.4
9228,Central Railway,Summer,Express,15,108.30426898332094,199187,39.0,59.3,1.6,57.2,3.96,9.03,75.7,62.4,18.0,114.1,25.88,81,82.1,82.5,11.6,None,0,None,59.4
9229,South Central Railway,Summer,Express,14,95.96088284709919,292124,29.2,48.5,7.3,30.4,3.27,6.73,79.6,63.1,27.9,110.1,20.8,73,88.6,88.3,32.4,Wheel Defect,1,Medium,49.9
9230,Northern Railway,Summer,Express,26,92.72506459123261,51892,35.7,59.0,3.4,60.0,4.15,16.49,85.5,70.8,77.1,69.5,24.84,286,35.7,43.2,3.5,Track Defect,1,Low,98.6
9231,South Central Railway,Summer,Metro,30,48.73242445409488,65079,31.0,,6.2,62.4,3.9,16.92,82.0,67.9,56.6,84.6,24.39,138,70.5,85.1,8.2,Track Defect,1,Medium,68.9
9232,Southern Railway,Summer,Freight,7,71.20082234930136,133655,33.1,60.1,19.4,12.0,,8.02,51.3,48.6,6.9,120.3,22.49,161,70.8,75.7,4.4,None,0,None,52.6
9233,Central Railway,Monsoon,Freight,30,59.18553717095539,48467,30.1,84.6,81.9,66.6,4.69,11.85,81.1,65.4,55.4,85.2,22.97,272,48.1,63.7,13.6,None,0,None,85.1
9234,Central Railway,Monsoon,Metro,16,61.75392662392035,189905,24.4,81.9,36.8,50.9,,8.58,83.8,75.9,57.6,86.8,24.2,282,53.3,65.3,15.3,None,0,None,79.3
9235,Southern Railway,Summer,Freight,19,43.8618201586488,28761,41.3,42.3,0.3,46.2,2.94,10.87,72.7,64.2,34.0,107.8,23.62,204,62.3,63.5,4.8,None,0,None,72.6
9236,South Central Railway,Summer,Metro,21,71.68387888748855,109112,33.9,58.3,5.1,53.7,4.8,12.55,79.6,67.6,71.5,79.1,25.24,345,24.5,40.0,8.0,None,0,None,100.0
9237,South Central Railway,Winter,Passenger,27,91.01966079577056,1146207,15.7,48.0,2.7,65.8,2.66,16.69,72.9,80.6,69.1,72.5,23.51,290,39.6,43.2,13.3,Track Defect,1,Medium,97.7
9238,Northern Railway,Monsoon,Passenger,25,78.17982739669924,27761,25.8,89.2,87.5,38.8,3.56,10.39,95.8,71.2,62.8,72.9,26.78,319,37.7,40.0,7.8,None,0,None,91.8
9239,Western Railway,Summer,Express,12,117.05189541713436,9540,38.1,66.9,7.1,15.2,3.52,4.72,63.0,57.0,50.5,81.6,24.29,185,48.1,53.1,3.2,None,0,None,75.7
9240,Northern Railway,Winter,Metro,20,54.0524734727693,104107,23.0,60.8,,50.0,3.87,10.3,82.3,52.5,69.4,85.4,24.6,299,52.6,52.3,6.5,Wheel Defect,1,Medium,86.2
9241,Eastern Railway,Monsoon,Express,17,106.19472144281997,71084,23.3,78.9,103.4,38.7,3.68,15.83,81.1,55.3,76.2,83.3,24.7,204,64.7,55.3,29.8,Track Defect,1,Medium,79.5
9242,Western Railway,Summer,Express,33,123.08622594042734,42134,38.2,55.5,4.4,57.9,5.13,16.99,84.7,76.6,100.0,53.6,23.34,111,82.1,74.3,4.4,Track Defect,1,Low,75.1
9243,Western Railway,Summer,Passenger,16,35.54438210964446,110105,34.5,52.2,1.7,,2.88,9.41,55.6,69.3,30.2,111.4,22.55,26,99.1,100.0,3.6,Signal Failure,1,Low,42.5
9244,South Central Railway,Winter,Passenger,5,74.52382562734668,106816,22.5,66.4,0.5,16.6,1.39,4.35,60.8,46.8,19.0,113.6,25.05,199,65.6,64.8,0.9,None,0,None,61.4
9245,Northern Railway,Summer,Passenger,14,60.150669809997524,84515,23.3,66.7,2.8,51.5,3.22,8.33,87.7,71.9,38.7,92.6,22.38,310,48.3,50.9,26.0,None,0,None,83.8
9246,Central Railway,Winter,Express,3,104.19806349404415,59905,14.9,44.9,11.2,0.0,0.0,6.29,58.8,53.8,25.3,111.1,24.78,157,64.0,58.2,1.7,Bearing Failure,1,Low,61.3
9247,Central Railway,Winter,Metro,15,60.2436353215256,527836,29.9,45.5,,46.2,3.88,7.63,,61.9,40.8,96.1,22.4,246,50.2,47.0,2.1,None,0,None,83.8
9248,South Central Railway,Monsoon,Passenger,29,75.9363620590408,55252,26.1,91.3,56.7,67.5,4.48,14.67,93.5,69.7,71.3,76.8,,90,80.0,72.0,13.9,Track Defect,1,Medium,74.8
9249,South Central Railway,Monsoon,Express,8,142.52151332485857,100298,24.9,75.8,20.6,39.0,,3.23,80.1,59.9,29.6,104.0,23.26,251,46.2,47.8,62.0,Bearing Failure,1,Medium,81.2
9250,Southern Railway,Winter,Express,8,123.91275727575768,54068,23.7,30.3,2.6,17.5,1.54,4.49,57.5,71.7,8.6,128.2,24.74,73,77.0,71.1,5.2,None,0,None,54.1
9251,Southern Railway,Winter,Passenger,25,94.83736828721315,59301,23.5,45.9,1.8,40.2,4.47,9.99,81.5,59.4,49.9,81.8,24.61,179,61.5,70.7,13.2,None,0,None,70.8
9252,Western Railway,Winter,Passenger,4,84.8178355646979,64994,26.1,47.3,2.1,48.0,3.32,3.07,74.5,58.8,42.0,97.6,23.06,167,54.3,62.8,3.2,None,0,None,76.9
9253,Central Railway,Summer,Freight,1,66.60530677607059,133789,27.6,,7.2,20.8,0.99,1.73,64.5,65.0,8.0,101.0,26.23,258,32.1,48.1,3.4,None,0,None,77.5
9254,Northern Railway,Winter,Passenger,1,59.278434737180405,189626,22.7,,6.0,23.9,2.24,4.02,67.7,63.8,0.0,117.4,20.45,331,27.7,40.5,6.6,None,0,None,81.4
9255,Central Railway,Summer,Metro,33,58.02885526055575,166116,34.9,56.8,8.6,65.7,4.61,13.66,,86.5,61.1,93.6,27.29,196,66.0,61.8,2.5,Wheel Defect,1,High,81.1
9256,South Central Railway,Summer,Freight,25,51.61033714793918,111164,39.6,52.3,1.2,55.7,4.87,9.82,82.5,64.5,64.0,76.6,22.71,145,60.6,52.3,13.1,None,0,None,84.4
9257,Northern Railway,Monsoon,Express,25,93.09166315865357,23919,31.0,72.9,,62.0,4.97,12.24,97.7,75.5,54.5,78.5,24.31,23,89.5,99.3,50.6,Wheel Defect,1,Medium,57.1
9258,Northern Railway,Monsoon,Freight,23,41.06654719554876,104691,31.3,89.6,130.0,59.7,4.88,12.48,73.4,70.3,72.7,71.2,25.12,227,58.6,48.8,23.5,None,0,None,88.7
9259,South Central Railway,Summer,Freight,17,56.496684572104975,80615,34.5,48.0,15.0,46.6,,8.1,86.9,62.5,44.4,100.8,23.49,203,56.7,63.6,3.8,Signal Failure,1,Medium,75.9
9260,Western Railway,Summer,Passenger,17,82.6189166139169,42559,34.4,56.2,,17.1,1.76,6.47,61.4,49.5,42.2,90.0,23.86,183,67.2,69.8,13.6,None,0,None,62.5
9261,Southern Railway,Monsoon,Freight,4,54.39612422113831,139661,29.9,89.8,84.0,26.7,3.76,3.3,67.8,52.2,11.1,96.3,24.91,278,47.5,55.4,40.2,None,0,None,71.9
9262,South Central Railway,Summer,Freight,5,41.52557565508391,281382,33.2,66.5,12.5,0.0,0.79,5.12,69.0,55.2,11.5,111.0,23.71,54,86.6,81.0,22.0,None,0,None,43.4
9263,Eastern Railway,Monsoon,Passenger,19,92.471545978411,60500,26.9,75.9,87.5,18.8,2.35,7.47,73.3,38.8,70.3,86.1,25.17,177,81.4,84.0,21.8,None,0,None,57.2
9264,Western Railway,Winter,Passenger,21,66.99962994890448,133668,27.2,50.3,1.9,46.3,3.59,7.52,72.6,78.5,55.4,92.9,25.07,166,52.7,62.0,17.6,Brake Failure,1,Low,79.3
9265,Western Railway,Winter,Passenger,4,83.33902174020972,67722,19.0,59.2,1.0,22.7,1.5,6.32,66.2,72.6,15.6,106.2,27.46,338,33.0,49.3,2.7,None,0,None,78.4
9266,Southern Railway,Summer,Passenger,1,65.39171152111646,46251,35.8,47.5,10.5,3.3,1.71,4.53,62.5,41.9,14.2,107.9,21.88,4,96.3,81.6,5.9,None,0,None,41.4
9267,South Central Railway,Winter,Express,28,106.47255591944425,55965,23.0,39.0,,78.0,5.27,15.88,92.4,89.3,56.3,88.7,23.74,194,59.3,59.6,18.6,Track Defect,1,Low,86.3
9268,Southern Railway,Winter,Express,27,81.70555829985855,56157,13.4,50.7,11.9,36.3,3.9,18.36,54.8,71.9,67.7,83.1,24.79,116,66.4,53.3,9.3,Track Defect,1,Medium,78.0
9269,Central Railway,Summer,Express,33,102.68282492440729,109405,36.8,37.1,7.3,79.5,6.13,14.2,103.3,77.7,81.0,77.6,23.66,150,66.7,68.5,3.8,Track Defect,1,Medium,84.6
9270,Northern Railway,Summer,Metro,18,50.339194031621915,138136,33.0,54.6,1.6,,2.84,21.95,81.9,65.4,35.1,111.6,25.9,244,30.6,40.0,6.5,Track Defect,1,Low,92.3
9271,Western Railway,Summer,Passenger,4,60.6133621140662,40161,45.4,41.7,3.4,1.2,0.0,2.23,56.9,59.9,0.1,121.3,26.76,179,48.3,58.9,9.1,Wheel Defect,1,Medium,62.3
9272,Eastern Railway,Winter,Express,29,96.64549028136028,99404,23.0,53.3,11.9,,4.07,11.24,,62.6,76.1,75.5,23.63,293,34.5,50.2,9.3,Track Defect,1,High,95.1
9273,Western Railway,Summer,Metro,12,47.04530334775315,102457,41.2,77.6,1.3,19.5,2.13,8.06,53.8,68.1,30.9,109.7,27.01,277,41.1,50.5,2.8,None,0,None,77.0
9274,Western Railway,Summer,Express,22,102.32555865515674,295700,36.8,71.7,5.9,60.9,3.1,9.44,80.6,70.4,41.4,105.0,23.55,336,38.5,51.5,2.0,Signal Failure,1,Low,89.3
9275,Central Railway,Monsoon,Passenger,8,89.0353153412169,46313,27.1,87.3,62.5,27.9,2.48,11.89,61.1,60.3,18.5,103.5,24.21,59,85.9,94.9,11.0,None,0,None,46.1
9276,Southern Railway,Summer,Freight,1,57.6197561790801,119867,33.4,41.3,3.5,0.0,0.8,3.29,62.1,46.4,25.2,106.7,26.27,220,56.1,45.2,4.6,None,0,None,68.9
9277,Southern Railway,Summer,Passenger,14,81.31593217436313,61693,38.1,57.1,4.0,21.2,,7.66,62.1,60.8,30.3,99.3,24.98,186,63.6,64.4,5.4,None,0,None,65.0
9278,Central Railway,Monsoon,Passenger,24,64.86420367591634,25224,28.3,81.1,70.0,47.5,3.4,13.31,72.9,73.3,61.6,72.1,24.49,340,35.6,40.0,52.3,None,0,None,94.4
9279,Central Railway,Winter,Express,11,90.87808199478712,18467,24.9,45.3,2.2,22.5,2.53,5.92,62.5,51.4,38.3,101.5,24.01,197,57.4,47.5,3.0,None,0,None,75.1
9280,Central Railway,Winter,Metro,25,37.56494312098032,117318,9.3,69.7,1.1,57.4,,9.84,83.4,84.3,64.8,82.5,27.78,225,53.2,49.6,2.5,None,0,None,88.3
9281,Western Railway,Winter,Passenger,24,75.4106999937453,32800,29.7,47.2,0.3,47.4,3.8,16.32,86.1,68.7,62.8,83.8,26.12,283,42.8,59.3,10.8,Track Defect,1,Low,84.7
9282,Southern Railway,Monsoon,Passenger,33,55.62057517068794,40501,30.5,85.8,45.1,63.3,5.05,14.23,93.9,65.9,76.5,74.2,25.18,338,22.8,40.0,5.0,Track Defect,1,High,100.0
9283,Western Railway,Monsoon,Express,11,108.65123331840985,298241,28.4,100.0,25.7,35.1,5.17,7.04,83.6,63.4,29.3,105.3,25.41,315,52.4,59.6,21.3,None,0,None,73.6
9284,Western Railway,Winter,Express,29,96.38369118122496,215567,23.5,30.6,3.9,62.5,4.81,13.47,84.3,71.5,70.8,77.1,24.82,223,49.3,48.4,7.2,None,0,None,92.1
9285,Eastern Railway,Winter,Freight,8,44.708596972258206,52304,17.5,54.3,7.6,16.9,1.46,3.86,53.7,62.1,37.7,101.7,24.66,53,94.8,94.5,4.0,None,0,None,43.7
9286,Northern Railway,Summer,Passenger,25,70.66664420998924,205715,41.0,60.0,11.0,65.6,5.29,9.87,87.7,70.3,33.6,97.0,26.29,296,41.2,40.9,3.8,None,0,None,92.7
9287,Northern Railway,Winter,Express,8,125.89216842673635,95034,17.6,43.3,12.1,24.5,1.92,4.57,,63.2,14.6,99.3,21.91,151,79.0,84.0,5.8,None,0,None,51.0
9288,Eastern Railway,Winter,Passenger,15,51.87069776493591,130894,22.2,54.7,0.9,31.2,2.49,6.1,80.2,52.3,39.2,105.2,23.4,217,50.7,52.9,3.1,None,0,None,77.3
9289,South Central Railway,Summer,Freight,4,64.73538834657333,48555,46.3,,9.2,18.5,2.27,6.45,46.0,57.4,31.6,98.7,25.18,220,58.2,66.6,2.2,None,0,None,65.3
9290,South Central Railway,Summer,Metro,12,58.87579929749956,401663,32.0,59.9,8.4,12.1,1.0,8.57,66.0,52.2,21.4,99.7,23.93,35,100.0,100.0,9.1,None,0,None,36.2
9291,Southern Railway,Monsoon,Express,2,118.34344463902804,108716,30.6,85.9,30.1,7.4,1.1,7.2,55.2,40.7,27.9,110.1,25.62,219,67.0,62.6,36.7,None,0,None,60.9
9292,Central Railway,Monsoon,Passenger,5,79.68203007664727,72569,35.3,,48.5,31.1,3.06,4.34,76.8,71.6,38.8,103.3,27.42,273,44.8,56.0,39.4,None,0,None,77.8
9293,Eastern Railway,Summer,Freight,18,64.55743785834274,77172,40.0,,6.6,,3.84,11.74,57.9,72.2,50.4,92.4,25.35,297,17.2,40.2,9.4,None,0,None,94.8
9294,Western Railway,Winter,Freight,4,53.991380828684974,180417,17.2,20.2,1.0,4.0,1.24,10.92,78.48,47.0,23.7,118.8,26.13,99,82.6,95.5,2.7,None,0,None,41.6
9295,Central Railway,Summer,Freight,19,72.6368131292596,60101,39.9,70.7,3.5,27.3,2.7,7.56,51.0,55.1,59.2,84.9,23.12,25,96.0,90.0,4.1,None,0,None,50.9
9296,Central Railway,Winter,Express,31,85.61081933087691,84538,25.2,44.7,1.8,51.2,2.8,12.92,89.9,68.7,63.6,67.4,23.41,143,64.8,73.5,1.9,None,0,None,73.5
9297,Northern Railway,Monsoon,Passenger,4,79.64479603260888,31366,27.5,91.6,48.3,28.7,2.35,2.87,76.0,54.2,22.7,114.4,26.86,295,38.2,51.9,13.7,None,0,None,78.3
9298,South Central Railway,Summer,Express,22,103.50698997317774,136658,35.8,72.4,12.4,56.1,3.75,10.45,75.8,77.4,58.5,101.6,21.28,122,71.1,52.5,11.4,Wheel Defect,1,Medium,80.4
9299,Central Railway,Summer,Passenger,2,47.63964274534244,23560,31.5,56.8,1.6,17.1,3.27,2.0,69.8,59.4,2.7,116.3,25.66,251,45.2,40.9,9.7,None,0,None,74.8
9300,Southern Railway,Winter,Express,20,101.44650983336624,372528,28.2,58.7,0.1,,5.41,7.31,84.7,56.1,55.5,70.5,22.39,111,80.7,79.4,2.7,Bearing Failure,1,Medium,66.6
9301,Southern Railway,Summer,Express,7,99.17305315298732,64871,38.2,54.7,16.1,12.9,1.73,2.83,40.5,50.3,0.0,109.0,27.73,362,23.9,40.0,4.4,None,0,None,80.1
9302,South Central Railway,Summer,Passenger,17,67.40327486040508,17723,41.5,65.4,11.2,29.3,2.65,15.44,64.2,56.5,38.8,104.7,23.41,321,44.8,59.7,12.9,Track Defect,1,High,75.8
9303,Northern Railway,Winter,Passenger,13,70.78074075659009,53920,28.4,33.0,2.7,38.5,2.47,11.26,77.0,81.7,56.1,88.7,24.02,14,93.2,89.9,29.6,None,0,None,54.1
9304,South Central Railway,Winter,Freight,17,48.23944070782774,235666,24.7,43.8,8.9,59.4,4.63,10.65,74.6,63.6,52.2,91.2,25.59,75,72.1,65.1,2.1,Signal Failure,1,Medium,75.0
9305,Central Railway,Summer,Passenger,11,96.18925724117223,431514,41.4,56.8,4.6,36.4,2.62,6.06,78.8,69.3,48.5,95.7,25.13,79,78.1,72.4,11.7,None,0,None,64.0
9306,Eastern Railway,Monsoon,Passenger,21,67.06683272273006,141021,31.1,98.2,65.5,33.0,4.23,10.06,64.7,74.0,52.6,87.2,26.1,108,86.6,87.2,12.7,None,0,None,55.3
9307,Central Railway,Monsoon,Metro,1,56.40931507208521,292234,26.6,76.4,96.4,28.5,1.93,2.36,75.5,55.0,11.4,107.1,25.97,334,22.1,40.0,29.4,None,0,None,86.2
9308,Central Railway,Summer,Express,29,118.44664930373513,134573,36.5,64.4,26.8,42.3,3.23,13.45,76.6,58.9,66.1,87.1,22.62,130,71.8,75.0,5.0,Track Defect,1,Low,68.9
9309,Northern Railway,Monsoon,Express,24,113.87317608336545,218864,30.2,62.4,96.7,46.6,2.87,11.37,84.3,58.6,65.4,91.6,23.21,312,30.0,40.0,8.0,None,0,None,96.5
9310,Northern Railway,Summer,Passenger,25,60.803357623642334,75886,42.6,82.0,3.2,58.3,4.39,11.01,98.4,71.5,28.9,110.6,24.47,328,47.2,56.8,1.5,Bearing Failure,1,High,82.0
9311,Eastern Railway,Winter,Freight,17,54.474431381991444,43594,12.6,60.3,9.1,21.9,1.32,7.39,81.3,55.5,88.0,72.6,25.32,19,99.1,79.7,8.2,None,0,None,57.1
9312,Northern Railway,Winter,Passenger,20,86.89863989036681,98857,15.9,78.3,0.8,44.9,4.4,8.83,97.9,68.3,50.0,99.7,22.3,64,89.7,87.8,11.1,None,0,None,56.7
9313,Western Railway,Monsoon,Passenger,11,70.7101942652686,30128,29.3,69.0,25.4,18.0,2.51,8.82,,66.1,15.0,114.5,26.29,108,69.5,69.9,16.0,None,0,None,57.9
9314,Central Railway,Summer,Freight,17,38.17691833465862,89126,29.5,65.5,4.5,30.3,2.23,8.98,74.0,59.5,47.0,98.1,26.84,205,66.6,70.6,3.5,Bearing Failure,1,Low,66.4
9315,Northern Railway,Summer,Passenger,7,75.7103790012609,92815,41.1,76.4,0.6,16.0,0.97,6.15,63.3,49.0,30.6,104.5,24.96,116,78.1,60.9,3.4,None,0,None,60.8
9316,Central Railway,Monsoon,Metro,13,46.828792049666376,121717,33.9,,39.5,39.2,2.61,10.33,84.3,74.5,40.7,92.2,24.19,107,95.0,80.4,36.2,Wheel Defect,1,High,55.2
9317,Western Railway,Summer,Freight,22,56.42951189818309,196911,40.8,48.4,4.4,59.3,5.32,10.52,77.1,60.2,57.2,85.7,25.65,194,50.3,59.7,9.3,Wheel Defect,1,High,84.4
9318,Central Railway,Summer,Freight,1,49.925420737128725,175175,28.6,56.6,2.2,3.3,1.06,4.4,53.9,49.9,12.1,105.2,24.89,149,73.5,53.7,4.5,None,0,None,59.1
9319,Southern Railway,Winter,Passenger,3,75.18102934345232,96576,19.1,44.3,4.5,0.0,0.83,9.83,54.3,50.1,12.4,114.8,25.08,246,56.1,56.1,4.9,None,0,None,62.6
9320,Western Railway,Winter,Freight,25,52.83819454303233,109038,18.6,33.3,1.7,37.3,4.35,11.6,71.8,64.6,65.9,87.3,24.08,118,72.8,84.0,7.3,None,0,None,63.8
9321,Western Railway,Winter,Passenger,1,82.78476725673728,66827,23.7,54.8,1.2,2.8,1.36,2.86,54.0,44.4,12.9,112.8,23.76,274,51.9,47.9,3.4,None,0,None,67.9
9322,Central Railway,Monsoon,Passenger,12,86.26926284641837,40931,30.6,72.6,,,2.29,7.37,66.3,64.6,70.7,87.9,23.89,139,80.1,72.8,31.3,None,0,None,63.2
9323,South Central Railway,Winter,Passenger,27,83.51857435311196,75081,20.3,42.3,1.5,49.9,4.52,12.11,78.3,68.4,63.9,79.9,24.35,208,38.2,46.2,14.5,None,0,None,92.1
9324,Eastern Railway,Winter,Metro,20,66.49129247113233,45254,20.3,47.5,8.1,33.1,2.85,9.4,81.8,65.2,31.0,114.4,25.23,31,98.9,82.3,4.3,None,0,None,50.3
9325,South Central Railway,Monsoon,Passenger,7,87.31526503878234,89667,26.2,100.0,59.0,31.0,2.81,3.3,62.4,57.7,9.4,116.8,22.26,65,99.1,84.8,13.1,Wheel Defect,1,Low,45.5
9326,Southern Railway,Summer,Express,26,107.32638913948166,265619,47.1,63.7,24.9,49.8,3.49,13.94,89.2,67.3,67.2,90.0,24.96,216,68.0,65.5,6.0,None,0,None,75.9
9327,Northern Railway,Summer,Passenger,34,86.12769409505381,163565,39.9,77.0,1.2,70.9,4.44,17.93,97.3,61.5,64.5,82.1,23.9,305,34.4,47.9,11.1,Track Defect,1,Low,97.9
9328,Central Railway,Monsoon,Express,27,108.30681189163062,343624,29.2,81.4,46.3,49.3,4.03,13.97,80.3,72.1,69.8,65.9,22.06,35,100.0,82.7,26.7,None,0,None,59.7
9329,Northern Railway,Summer,Express,28,103.3540768420666,46992,33.5,40.0,1.7,60.5,4.26,12.19,97.9,66.9,44.6,107.9,25.69,245,54.2,45.6,3.1,None,0,None,87.3
9330,Central Railway,Summer,Express,33,92.13437866746942,56512,37.8,52.5,1.7,62.5,5.79,13.85,80.1,67.0,59.9,97.9,23.73,230,52.2,40.0,5.1,None,0,None,92.9
9331,Western Railway,Monsoon,Express,30,100.98534707634343,48428,24.0,85.2,55.6,48.6,2.65,16.8,80.8,56.4,77.2,92.8,27.11,335,47.8,41.4,20.8,Track Defect,1,Critical,92.8
9332,Southern Railway,Winter,Express,32,121.170600689591,140027,22.6,,0.7,64.6,3.36,12.24,77.9,64.0,100.0,70.5,23.11,75,88.0,81.1,1.9,None,0,None,72.3
9333,South Central Railway,Winter,Passenger,22,61.95271977608596,144617,23.0,36.0,0.8,53.6,5.16,10.06,80.0,63.0,41.9,106.9,24.78,318,19.9,40.0,6.3,Wheel Defect,1,Medium,97.7
9334,Southern Railway,Winter,Passenger,26,75.22536289816406,28419,18.0,49.8,1.4,43.6,2.04,14.06,83.6,65.7,48.0,84.0,20.63,247,65.9,71.3,2.8,Track Defect,1,High,69.8
9335,Central Railway,Monsoon,Passenger,7,71.90851345228224,123615,24.2,72.4,73.4,27.3,2.0,4.33,66.2,52.8,22.5,99.3,25.11,22,85.1,76.8,20.8,None,0,None,54.0
9336,Central Railway,Summer,Freight,17,58.04420338940618,61371,32.9,44.2,0.3,38.5,2.88,8.8,74.0,60.6,50.0,81.7,24.95,262,57.5,71.6,4.2,None,0,None,71.3
9337,Eastern Railway,Winter,Express,11,83.72400248686488,67774,16.6,44.5,,44.6,3.41,5.88,86.9,71.6,39.9,91.5,24.58,363,24.0,40.0,3.3,None,0,None,93.9
9338,Western Railway,Summer,Metro,16,47.70737988288906,292776,48.2,50.2,5.4,20.8,2.85,13.49,62.2,60.7,46.9,88.4,,171,64.2,57.6,9.7,None,0,None,69.9
9339,Eastern Railway,Winter,Passenger,27,87.57441939064442,173013,31.8,62.4,1.9,33.1,,14.83,69.6,56.0,49.5,85.5,22.34,111,78.4,69.5,9.1,Track Defect,1,Medium,64.4
9340,Eastern Railway,Winter,Metro,9,48.003905301009866,52616,21.4,44.1,3.5,0.0,1.4,4.53,44.8,46.2,22.7,108.9,22.69,160,67.0,65.3,14.4,None,0,None,57.2
9341,Northern Railway,Summer,Express,3,97.55046325589343,72139,30.2,51.8,15.7,20.5,2.88,5.2,70.7,57.1,5.4,120.5,24.66,347,34.3,52.4,2.9,Wheel Defect,1,Low,74.7
9342,Western Railway,Summer,Passenger,19,63.45846784337499,178732,41.2,47.4,6.8,57.3,3.76,13.18,84.0,65.8,24.3,111.3,25.51,162,51.0,61.5,3.4,None,0,None,78.1
9343,Western Railway,Monsoon,Metro,10,61.77472504691592,36466,25.9,83.5,,17.1,1.5,5.99,50.7,51.2,26.8,103.7,25.46,247,54.7,62.2,14.9,None,0,None,67.1
9344,Western Railway,Summer,Freight,4,68.80266756992104,43025,46.7,62.5,4.4,0.0,0.73,6.45,49.1,54.0,0.0,127.5,24.51,255,58.3,63.2,6.6,None,0,None,57.2
9345,South Central Railway,Summer,Passenger,17,77.81775745049782,51006,26.1,46.7,10.3,45.6,2.63,14.47,,63.8,43.0,92.2,24.75,358,22.0,44.3,4.2,Track Defect,1,Low,93.5
9346,Central Railway,Summer,Freight,28,43.165575306049384,208509,37.6,57.5,1.3,48.9,2.66,10.74,79.0,69.4,73.8,90.3,25.84,337,17.2,40.0,12.2,None,0,None,100.0
9347,Eastern Railway,Winter,Express,20,98.76315519928507,108452,17.9,46.3,5.4,56.3,4.05,10.2,82.6,70.8,62.4,90.5,22.98,1,98.9,90.9,1.7,None,0,None,57.4
9348,Western Railway,Winter,Express,9,74.90525145542682,45425,26.9,57.9,4.1,36.9,2.35,4.98,77.8,70.1,32.9,101.4,24.93,287,50.4,60.1,5.8,None,0,None,75.0
9349,Western Railway,Summer,Passenger,18,70.16434568071267,23653,37.7,65.1,3.4,58.0,4.75,11.7,74.2,78.3,29.7,94.5,22.38,147,70.8,54.3,14.2,None,0,None,76.0
9350,Northern Railway,Monsoon,Passenger,18,76.22614733352299,91704,29.9,94.9,41.4,33.0,1.71,14.56,66.6,61.4,53.9,86.1,25.44,207,62.7,55.8,28.1,Track Defect,1,Low,75.2
9351,South Central Railway,Monsoon,Passenger,28,84.37085441505225,155794,31.1,62.9,71.8,65.6,4.1,11.5,87.6,81.5,80.9,69.6,23.3,341,27.1,44.2,6.6,Brake Failure,1,Low,100.0
9352,Eastern Railway,Winter,Passenger,8,85.89299250228615,206513,14.5,49.5,4.4,29.8,4.2,4.7,51.6,76.7,13.7,134.0,20.77,51,98.0,77.8,13.9,None,0,None,49.0
9353,Southern Railway,Summer,Passenger,30,85.0532679898823,68142,28.7,37.0,12.1,59.9,4.43,12.81,90.3,79.9,85.2,84.9,24.12,283,27.5,40.0,7.3,Brake Failure,1,Critical,100.0
9354,Northern Railway,Monsoon,Freight,2,54.58500218440867,48414,26.1,88.1,47.4,16.6,0.99,8.14,61.0,53.6,0.1,128.5,22.76,346,28.7,53.0,23.9,Bearing Failure,1,Medium,74.4
